row,time,model,line,log_time,method,delta_seconds,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,log_output_tokens,input_cost,output_cost,cache_read_cost,cache_creation_cost,charged
701,2026-09-20T16:34:19.869492+08:00,claude-opus-5,2549,2026-09-20T08:34:06.656Z,model+3_input_fields+time,13.213492,2,1779,713102,859,4,0.000010,0.044475,0.356551,0.005369,0.406405
700,2026-09-20T16:34:43.292717+08:00,claude-opus-5,2555,2026-09-20T08:34:33.213Z,model+4_token_fields+time,10.079717,2,1135,713961,1514,1135,0.000010,0.028375,0.356980,0.009463,0.394828
699,2026-09-20T16:38:31.088693+08:00,claude-opus-5,2569,2026-09-20T08:38:28.370Z,model+4_token_fields+time,2.718693,2,493,715475,1180,493,0.000010,0.012325,0.357737,0.007375,0.377447
697,2026-09-20T16:39:26.304989+08:00,claude-opus-5,2575,2026-09-20T08:39:22.718Z,model+3_input_fields+time,3.586989,2,1297,716655,681,1,0.000010,0.032425,0.358328,0.004256,0.395019
696,2026-09-20T16:39:37.834693+08:00,claude-opus-5,2579,2026-09-20T08:39:35.529Z,model+4_token_fields+time,2.305693,2,446,717336,1119,446,0.000010,0.011150,0.358668,0.006994,0.376822
694,2026-09-20T16:39:57.957499+08:00,claude-opus-5,2589,2026-09-20T08:39:55.997Z,model+4_token_fields+time,1.960499,2,290,718455,727,290,0.000010,0.007250,0.359227,0.004544,0.371031
691,2026-09-20T16:40:48.02409+08:00,claude-opus-5,2593,2026-09-20T08:40:43.600Z,model+4_token_fields+time,4.42409,2,928,719182,387,928,0.000010,0.023200,0.359591,0.002419,0.385220
689,2026-09-20T16:41:34.681815+08:00,claude-opus-5,2598,2026-09-20T08:41:30.441Z,model+4_token_fields+time,4.240815,2,1109,719569,1011,1109,0.000010,0.027725,0.359785,0.006319,0.393838
686,2026-09-20T16:42:19.419808+08:00,claude-opus-5,2606,2026-09-20T08:42:14.820Z,model+4_token_fields+time,4.599808,2,701,720580,1657,701,0.000010,0.017525,0.360290,0.010356,0.388181
684,2026-09-20T16:43:09.296164+08:00,claude-opus-5,2617,2026-09-20T08:42:51.467Z,model+4_token_fields+time,17.829164,2,1196,722237,954,1196,0.000010,0.029900,0.361119,0.005962,0.396991
681,2026-09-20T16:43:26.964532+08:00,claude-opus-5,2622,2026-09-20T08:43:23.337Z,model+4_token_fields+time,3.627532,2,424,723191,1587,424,0.000010,0.010600,0.361596,0.009919,0.382124
676,2026-09-20T16:43:46.225625+08:00,claude-opus-5,2628,2026-09-20T08:43:43.563Z,model+4_token_fields+time,2.662625,2,639,724778,928,639,0.000010,0.015975,0.362389,0.005800,0.384174
669,2026-09-20T16:44:14.734521+08:00,claude-opus-5,2640,2026-09-20T08:44:02.534Z,model+4_token_fields+time,12.200521,2,1577,725706,2014,1577,0.000010,0.039425,0.362853,0.012587,0.414876
666,2026-09-20T16:44:24.706275+08:00,claude-opus-5,2646,2026-09-20T08:44:24.892Z,model+4_token_fields+time,-0.185725,2,222,727720,1654,222,0.000010,0.005550,0.363860,0.010337,0.379758
661,2026-09-20T16:44:55.121212+08:00,claude-opus-5,2649,2026-09-20T08:44:55.075Z,model+4_token_fields+time,0.046212,2,1219,729374,313,1219,0.000010,0.030475,0.364687,0.001956,0.397128
650,2026-09-20T16:49:13.138804+08:00,claude-opus-5,2664,2026-09-20T08:49:11.701Z,model+4_token_fields+time,1.437804,2,953,729687,3169,953,0.000010,0.023825,0.364843,0.019806,0.408485
648,2026-09-20T16:49:36.003528+08:00,claude-opus-5,2676,2026-09-20T08:49:34.413Z,model+4_token_fields+time,1.590528,2,626,732856,3067,626,0.000010,0.015650,0.366428,0.019169,0.401257
646,2026-09-20T16:50:30.167817+08:00,claude-opus-5,2688,2026-09-20T08:50:28.334Z,model+4_token_fields+time,1.833817,2,2947,735923,19737,2947,0.000010,0.073675,0.367961,0.123356,0.565003
645,2026-09-20T16:50:51.842014+08:00,claude-opus-5,2693,2026-09-20T08:50:47.034Z,model+4_token_fields+time,4.808014,2,845,755660,5016,845,0.000010,0.021125,0.377830,0.031350,0.430315
643,2026-09-20T16:51:32.781155+08:00,claude-opus-5,2704,2026-09-20T08:51:14.622Z,model+4_token_fields+time,18.159155,2,2065,760676,1176,2065,0.000010,0.051625,0.380338,0.007350,0.439323
642,2026-09-20T16:52:08.713302+08:00,claude-opus-5,2709,2026-09-20T08:52:09.237Z,model+4_token_fields+time,-0.523698,2,1913,761852,2147,1913,0.000010,0.047825,0.380926,0.013419,0.442180
641,2026-09-20T16:52:22.911943+08:00,claude-opus-5,2712,2026-09-20T08:52:22.001Z,model+4_token_fields+time,0.910943,2,138,763999,1995,138,0.000010,0.003450,0.381999,0.012469,0.397928
640,2026-09-20T16:52:57.086894+08:00,claude-opus-5,2722,2026-09-20T08:52:57.488Z,model+4_token_fields+time,-0.401106,2,2016,765994,1886,2016,0.000010,0.050400,0.382997,0.011787,0.445194
639,2026-09-20T16:53:13.561279+08:00,claude-opus-5,2725,2026-09-20T08:53:06.006Z,model+4_token_fields+time,7.555279,2,538,767880,2098,538,0.000010,0.013450,0.383940,0.013112,0.410513
638,2026-09-20T16:53:36.013501+08:00,claude-opus-5,2729,2026-09-20T08:53:35.950Z,model+4_token_fields+time,0.063501,2,117,769978,620,117,0.000010,0.002925,0.384989,0.003875,0.391799
637,2026-09-20T16:53:53.274675+08:00,claude-opus-5,2732,2026-09-20T08:53:53.531Z,model+4_token_fields+time,-0.256325,2,728,770598,783,728,0.000010,0.018200,0.385299,0.004894,0.408403
636,2026-09-20T16:54:12.827001+08:00,claude-opus-5,2741,2026-09-20T08:54:13.042Z,model+4_token_fields+time,-0.214999,2,782,771381,810,782,0.000010,0.019550,0.385690,0.005063,0.410313
635,2026-09-20T16:54:35.973984+08:00,claude-opus-5,2744,2026-09-20T08:54:28.379Z,model+4_token_fields+time,7.594984,2,976,772191,864,976,0.000010,0.024400,0.386095,0.005400,0.415905
634,2026-09-20T16:55:40.647844+08:00,claude-opus-5,2748,2026-09-20T08:54:49.063Z,model+4_token_fields+time,51.584844,2,2360,773055,1058,2360,0.000010,0.059000,0.386528,0.006613,0.452150
633,2026-09-20T16:58:53.171763+08:00,claude-opus-5,2752,2026-09-20T08:58:34.493Z,model+4_token_fields+time,18.678763,2,1291,774113,2516,1291,0.000010,0.032275,0.387057,0.015725,0.435067
632,2026-09-20T16:59:15.997034+08:00,claude-opus-5,2762,2026-09-20T08:59:16.220Z,model+4_token_fields+time,-0.222966,2,455,776629,1373,455,0.000010,0.011375,0.388315,0.008581,0.408281
631,2026-09-20T16:59:27.557834+08:00,claude-opus-5,2765,2026-09-20T08:59:27.482Z,model+4_token_fields+time,0.075834,2,31,778002,537,31,0.000010,0.000775,0.389001,0.003356,0.393142
630,2026-09-20T17:00:36.911996+08:00,claude-opus-5,2774,2026-09-20T09:00:28.481Z,model+4_token_fields+time,8.430996,2,1791,778539,148,1791,0.000010,0.044775,0.389269,0.000925,0.434980
628,2026-09-20T17:01:27.624705+08:00,claude-opus-5,2789,2026-09-20T09:01:25.155Z,model+4_token_fields+time,2.469705,2,276,778687,16691,276,0.000010,0.006900,0.389344,0.104319,0.500572
627,2026-09-20T17:02:00.408332+08:00,claude-opus-5,2806,2026-09-20T09:01:57.554Z,model+4_token_fields+time,2.854332,2,1271,795378,22190,1271,0.000010,0.031775,0.397689,0.138687,0.568161
625,2026-09-20T17:02:29.714165+08:00,claude-opus-5,2811,2026-09-20T09:02:26.632Z,model+4_token_fields+time,3.082165,2,309,817568,1481,309,0.000010,0.007725,0.408784,0.009256,0.425775
623,2026-09-20T17:03:11.755995+08:00,claude-opus-5,2815,2026-09-20T09:02:55.080Z,model+4_token_fields+time,16.675995,2,1813,819049,608,1813,0.000010,0.045325,0.409525,0.003800,0.458659
621,2026-09-20T17:04:53.05596+08:00,claude-opus-5,2825,2026-09-20T09:03:33.685Z,model+4_token_fields+time,79.37096,2,5414,819657,1992,5414,0.000010,0.135350,0.409828,0.012450,0.557639
619,2026-09-20T17:05:09.182279+08:00,claude-opus-5,2830,2026-09-20T09:05:09.116Z,model+4_token_fields+time,0.066279,2,387,821649,5498,387,0.000010,0.009675,0.410824,0.034362,0.454872
617,2026-09-20T17:05:45.718705+08:00,claude-opus-5,2839,2026-09-20T09:05:45.650Z,model+4_token_fields+time,0.068705,2,1203,827147,618,1203,0.000010,0.030075,0.413573,0.003863,0.447521
615,2026-09-20T17:22:08.367867+08:00,claude-opus-5,2848,2026-09-20T09:21:41.784Z,model+4_token_fields+time,26.583867,2,2492,0,829025,2492,0.000010,0.062300,0.000000,5.181406,5.243716
614,2026-09-20T17:22:28.805035+08:00,claude-opus-5,2863,2026-09-20T09:22:24.479Z,model+4_token_fields+time,4.326035,2,817,829025,2711,817,0.000010,0.020425,0.414513,0.016944,0.451891
612,2026-09-20T17:22:55.338664+08:00,claude-opus-5,2868,2026-09-20T09:22:51.337Z,model+4_token_fields+time,4.001664,2,640,831736,1483,640,0.000010,0.016000,0.415868,0.009269,0.441147
610,2026-09-20T17:23:40.460373+08:00,claude-opus-5,2873,2026-09-20T09:23:33.398Z,model+4_token_fields+time,7.062373,2,1467,833219,1201,1467,0.000010,0.036675,0.416610,0.007506,0.460801
608,2026-09-20T17:24:12.525998+08:00,claude-opus-5,2878,2026-09-20T09:23:59.271Z,model+4_token_fields+time,13.254998,2,1527,834420,1941,1527,0.000010,0.038175,0.417210,0.012131,0.467526
605,2026-09-20T17:24:50.204009+08:00,claude-opus-5,2889,2026-09-20T09:24:41.329Z,model+4_token_fields+time,8.875009,2,1209,836361,1832,1209,0.000010,0.030225,0.418181,0.011450,0.459865
603,2026-09-20T17:25:23.984366+08:00,claude-opus-5,2894,2026-09-20T09:25:16.799Z,model+4_token_fields+time,7.185366,2,791,838193,1381,791,0.000010,0.019775,0.419096,0.008631,0.447513
601,2026-09-20T17:25:54.294563+08:00,claude-opus-5,2898,2026-09-20T09:25:44.260Z,model+4_token_fields+time,10.034563,2,1299,839574,1324,1299,0.000010,0.032475,0.419787,0.008275,0.460547
599,2026-09-20T17:26:21.612358+08:00,claude-opus-5,2903,2026-09-20T09:26:15.500Z,model+4_token_fields+time,6.112358,2,728,840898,2049,728,0.000010,0.018200,0.420449,0.012806,0.451465
597,2026-09-20T17:26:53.438935+08:00,claude-opus-5,2913,2026-09-20T09:26:45.136Z,model+4_token_fields+time,8.302935,2,1613,842947,1145,1613,0.000010,0.040325,0.421474,0.007156,0.468965
595,2026-09-20T17:27:40.213099+08:00,claude-opus-5,2918,2026-09-20T09:27:40.132Z,model+4_token_fields+time,0.081099,2,1471,844092,1797,1471,0.000010,0.036775,0.422046,0.011231,0.470062
594,2026-09-20T17:32:06.687883+08:00,claude-opus-5,2925,2026-09-20T09:32:02.991Z,model+4_token_fields+time,3.696883,2,787,845889,1798,787,0.000010,0.019675,0.422945,0.011237,0.453867
592,2026-09-20T17:32:23.799715+08:00,claude-opus-5,2936,2026-09-20T09:32:23.721Z,model+4_token_fields+time,0.078715,2,125,847687,1184,125,0.000010,0.003125,0.423843,0.007400,0.434379
591,2026-09-20T17:32:48.970673+08:00,claude-opus-5,2939,2026-09-20T09:32:46.971Z,model+4_token_fields+time,1.999673,2,864,848871,468,864,0.000010,0.021600,0.424436,0.002925,0.448970
589,2026-09-20T17:33:27.881873+08:00,claude-opus-5,2943,2026-09-20T09:33:27.800Z,model+4_token_fields+time,0.081873,2,1228,849339,1118,1228,0.000010,0.030700,0.424669,0.006987,0.462367
588,2026-09-20T17:36:39.447473+08:00,claude-opus-5,2950,2026-09-20T09:36:35.675Z,model+4_token_fields+time,3.772473,2,679,850457,1266,679,0.000010,0.016975,0.425229,0.007912,0.450126
586,2026-09-20T17:37:02.473088+08:00,claude-opus-5,2960,2026-09-20T09:37:02.394Z,model+4_token_fields+time,0.079088,2,701,851723,1025,701,0.000010,0.017525,0.425862,0.006406,0.449803
585,2026-09-20T17:37:53.702852+08:00,claude-opus-5,2967,2026-09-20T09:37:49.468Z,model+4_token_fields+time,4.234852,2,532,852748,757,532,0.000010,0.013300,0.426374,0.004731,0.444415
583,2026-09-20T17:38:16.123918+08:00,claude-opus-5,2972,2026-09-20T09:38:13.918Z,model+4_token_fields+time,2.205918,2,285,853505,2201,285,0.000010,0.007125,0.426752,0.013756,0.447644
581,2026-09-20T17:38:36.530018+08:00,claude-opus-5,2982,2026-09-20T09:38:32.439Z,model+4_token_fields+time,4.091018,2,734,855706,1207,734,0.000010,0.018350,0.427853,0.007544,0.453757
579,2026-09-20T17:39:09.819275+08:00,claude-opus-5,2987,2026-09-20T09:38:49.962Z,model+4_token_fields+time,19.857275,2,1487,856913,1563,1487,0.000010,0.037175,0.428457,0.009769,0.475410
574,2026-09-20T17:39:54.289642+08:00,claude-opus-5,2998,2026-09-20T09:39:52.269Z,model+4_token_fields+time,2.020642,2,277,858476,1878,277,0.000010,0.006925,0.429238,0.011737,0.447910
568,2026-09-20T17:40:30.345946+08:00,claude-opus-5,3002,2026-09-20T09:40:30.265Z,model+4_token_fields+time,0.080946,2,1336,860354,1023,1336,0.000010,0.033400,0.430177,0.006394,0.469981
560,2026-09-20T17:43:23.186122+08:00,claude-opus-5,3016,2026-09-20T09:42:57.954Z,model+4_token_fields+time,25.232122,2,2652,861377,1421,2652,0.000010,0.066300,0.430688,0.008881,0.505880
559,2026-09-20T17:44:13.333339+08:00,claude-opus-5,3023,2026-09-20T09:43:52.578Z,model+4_token_fields+time,20.755339,2,2535,862798,10545,2535,0.000010,0.063375,0.431399,0.065906,0.560690
558,2026-09-20T17:54:09.543746+08:00,claude-opus-5,3037,2026-09-20T09:53:48.640Z,model+4_token_fields+time,20.903746,2,1448,0,875925,1448,0.000010,0.036200,0.000000,5.474531,5.510741
557,2026-09-20T17:56:44.503804+08:00,claude-opus-5,3045,2026-09-20T09:56:29.235Z,model+4_token_fields+time,15.268804,2,2898,875925,1564,2898,0.000010,0.072450,0.437962,0.009775,0.520197
555,2026-09-20T17:57:27.063629+08:00,claude-opus-5,3058,2026-09-20T09:57:17.294Z,model+3_input_fields+time,9.769629,2,1650,877489,3366,3,0.000010,0.041250,0.438744,0.021038,0.501042
554,2026-09-20T17:57:43.315837+08:00,claude-opus-5,3064,2026-09-20T09:57:35.610Z,model+4_token_fields+time,7.705837,2,1030,880855,858,1030,0.000010,0.025750,0.440428,0.005363,0.471550
552,2026-09-20T17:59:19.034291+08:00,claude-opus-5,3069,2026-09-20T09:58:03.718Z,model+4_token_fields+time,75.316291,2,5424,881713,1401,5424,0.000010,0.135600,0.440856,0.008756,0.585223
550,2026-09-20T17:59:38.180289+08:00,claude-opus-5,3080,2026-09-20T09:59:38.097Z,model+4_token_fields+time,0.083289,2,402,883114,5507,402,0.000010,0.010050,0.441557,0.034419,0.486036
548,2026-09-20T18:00:21.422304+08:00,claude-opus-5,3083,2026-09-20T10:00:21.347Z,model+4_token_fields+time,0.075304,2,1385,888621,557,1385,0.000010,0.034625,0.444310,0.003481,0.482427
547,2026-09-20T18:03:57.363258+08:00,claude-opus-5,3099,2026-09-20T10:03:52.040Z,model+4_token_fields+time,5.323258,2,1554,889178,7132,1554,0.000010,0.038850,0.444589,0.044575,0.528024
545,2026-09-20T18:05:30.602807+08:00,claude-opus-5,3104,2026-09-20T10:04:18.680Z,model+4_token_fields+time,71.922807,2,4524,896310,5515,4524,0.000010,0.113100,0.448155,0.034469,0.595734
544,2026-09-20T18:14:32.739256+08:00,claude-opus-5,3116,2026-09-20T10:14:14.836Z,model+4_token_fields+time,17.903256,2,1714,0,908789,1714,0.000010,0.042850,0.000000,5.679931,5.722791
543,2026-09-20T18:14:49.608286+08:00,claude-opus-5,3121,2026-09-20T10:14:49.745Z,model+4_token_fields+time,-0.136714,2,626,908789,1796,626,0.000010,0.015650,0.454394,0.011225,0.481280
542,2026-09-20T18:15:00.158219+08:00,claude-opus-5,3130,2026-09-20T10:14:59.859Z,model+4_token_fields+time,0.299219,2,88,910585,708,88,0.000010,0.002200,0.455292,0.004425,0.461927
539,2026-09-20T18:15:58.608574+08:00,claude-opus-5,3149,2026-09-20T10:15:53.919Z,model+4_token_fields+time,4.689574,2,1531,911293,16573,1531,0.000010,0.038275,0.455647,0.103581,0.597513
537,2026-09-20T18:16:17.804555+08:00,claude-opus-5,3154,2026-09-20T10:16:17.804Z,model+4_token_fields+time,0.000555,2,139,927866,1785,139,0.000010,0.003475,0.463933,0.011156,0.478574
535,2026-09-20T18:16:56.31114+08:00,claude-opus-5,3157,2026-09-20T10:16:56.242Z,model+4_token_fields+time,0.06914,2,1297,929651,665,1297,0.000010,0.032425,0.464826,0.004156,0.501417
534,2026-09-20T18:20:03.518638+08:00,claude-opus-5,3170,2026-09-20T10:19:56.348Z,model+4_token_fields+time,7.170638,2,1589,930316,1341,1589,0.000010,0.039725,0.465158,0.008381,0.513274
532,2026-09-20T18:20:51.072266+08:00,claude-opus-5,3175,2026-09-20T10:20:22.067Z,model+4_token_fields+time,29.005266,2,1919,931657,2142,1919,0.000010,0.047975,0.465828,0.013388,0.527201
530,2026-09-20T18:21:19.920018+08:00,claude-opus-5,3179,2026-09-20T10:21:19.852Z,model+4_token_fields+time,0.068018,2,983,933799,2238,983,0.000010,0.024575,0.466900,0.013987,0.505472
529,2026-09-20T18:35:02.493389+08:00,claude-opus-5,3193,2026-09-20T10:34:56.808Z,model+4_token_fields+time,5.685389,2,1120,0,941230,1120,0.000010,0.028000,0.000000,5.882688,5.910698
527,2026-09-20T18:35:44.359894+08:00,claude-opus-5,3204,2026-09-20T10:35:36.888Z,model+4_token_fields+time,7.471894,2,788,941230,1577,788,0.000010,0.019700,0.470615,0.009856,0.500181
525,2026-09-20T18:36:17.411136+08:00,claude-opus-5,3208,2026-09-20T10:36:09.298Z,model+4_token_fields+time,8.113136,2,1142,942807,1215,1142,0.000010,0.028550,0.471403,0.007594,0.507557
523,2026-09-20T18:36:39.301378+08:00,claude-opus-5,3213,2026-09-20T10:36:33.325Z,model+4_token_fields+time,5.976378,2,794,944022,1330,794,0.000010,0.019850,0.472011,0.008313,0.500184
521,2026-09-20T18:37:15.666531+08:00,claude-opus-5,3217,2026-09-20T10:37:13.642Z,model+4_token_fields+time,2.024531,2,1063,945352,1238,1063,0.000010,0.026575,0.472676,0.007737,0.506999
519,2026-09-20T18:37:36.245113+08:00,claude-opus-5,3227,2026-09-20T10:37:34.020Z,model+4_token_fields+time,2.225113,2,282,946590,1126,282,0.000010,0.007050,0.473295,0.007038,0.487393
517,2026-09-20T18:38:17.364329+08:00,claude-opus-5,3231,2026-09-20T10:38:17.297Z,model+4_token_fields+time,0.067329,2,833,947716,558,833,0.000010,0.020825,0.473858,0.003488,0.498181
516,2026-09-20T21:31:07.87192+08:00,claude-opus-5,3238,2026-09-20T13:31:02.518Z,model+4_token_fields+time,5.35392,2,1378,11688,937449,1378,0.000010,0.034450,0.005844,5.859056,5.899360
514,2026-09-20T21:32:31.750524+08:00,claude-opus-5,3243,2026-09-20T13:31:17.659Z,model+4_token_fields+time,74.091524,2,6134,949137,1598,6134,0.000010,0.153350,0.474569,0.009987,0.637916
512,2026-09-20T21:32:40.152842+08:00,claude-opus-5,3254,2026-09-20T13:32:40.076Z,model+4_token_fields+time,0.076842,2,397,950735,6219,397,0.000010,0.009925,0.475367,0.038869,0.524171
510,2026-09-20T21:32:57.902616+08:00,claude-opus-5,3257,2026-09-20T13:32:57.822Z,model+4_token_fields+time,0.080616,2,999,956954,578,999,0.000010,0.024975,0.478477,0.003612,0.507074
509,2026-09-20T21:46:41.146462+08:00,claude-opus-5,3270,2026-09-20T13:46:36.273Z,model+4_token_fields+time,4.873462,2,1302,0,958762,1302,0.000010,0.032550,0.000000,5.992262,6.024822
507,2026-09-20T21:47:01.696585+08:00,claude-opus-5,3275,2026-09-20T13:46:54.972Z,model+4_token_fields+time,6.724585,2,1084,958762,2104,1084,0.000010,0.027100,0.479381,0.013150,0.519641
505,2026-09-20T21:47:26.490664+08:00,claude-opus-5,3280,2026-09-20T13:47:16.947Z,model+4_token_fields+time,9.543664,2,1647,960866,1680,1647,0.000010,0.041175,0.480433,0.010500,0.532118
503,2026-09-20T21:47:57.980322+08:00,claude-opus-5,3291,2026-09-20T13:47:34.652Z,model+4_token_fields+time,23.328322,2,1887,962546,1960,1887,0.000010,0.047175,0.481273,0.012250,0.540708
501,2026-09-20T21:48:14.839751+08:00,claude-opus-5,3295,2026-09-20T13:48:14.765Z,model+4_token_fields+time,0.074751,2,984,964506,2204,984,0.000010,0.024600,0.482253,0.013775,0.520638
500,2026-09-20T22:21:03.643958+08:00,claude-opus-5,3302,2026-09-20T14:20:57.050Z,model+4_token_fields+time,6.593958,2,1494,0,968043,1494,0.000010,0.037350,0.000000,6.050269,6.087629
498,2026-09-20T22:21:26.873661+08:00,claude-opus-5,3313,2026-09-20T14:21:19.489Z,model+4_token_fields+time,7.384661,2,1170,968043,1981,1170,0.000010,0.029250,0.484021,0.012381,0.525663
496,2026-09-20T22:21:44.049835+08:00,claude-opus-5,3318,2026-09-20T14:21:35.459Z,model+4_token_fields+time,8.590835,2,1137,970024,1256,1137,0.000010,0.028425,0.485012,0.007850,0.521297
494,2026-09-20T22:22:04.654112+08:00,claude-opus-5,3323,2026-09-20T14:22:00.145Z,model+4_token_fields+time,4.509112,2,1388,971280,1347,1388,0.000010,0.034700,0.485640,0.008419,0.528769
492,2026-09-20T22:22:26.762439+08:00,claude-opus-5,3328,2026-09-20T14:22:17.258Z,model+4_token_fields+time,9.504439,2,1529,972627,1541,1529,0.000010,0.038225,0.486314,0.009631,0.534180
490,2026-09-20T22:22:46.376703+08:00,claude-opus-5,3339,2026-09-20T14:22:42.729Z,model+4_token_fields+time,3.647703,2,1108,974168,1937,1108,0.000010,0.027700,0.487084,0.012106,0.526900
488,2026-09-20T22:23:07.168876+08:00,claude-opus-5,3343,2026-09-20T14:23:05.398Z,model+4_token_fields+time,1.770876,2,314,976105,1458,314,0.000010,0.007850,0.488053,0.009113,0.505025
486,2026-09-20T22:23:28.789919+08:00,claude-opus-5,3348,2026-09-20T14:23:28.719Z,model+4_token_fields+time,0.070919,2,1356,977563,1206,1356,0.000010,0.033900,0.488781,0.007537,0.530229
484,2026-09-20T22:26:20.20456+08:00,claude-opus-5,3399,2026-09-20T14:26:17.454Z,model+4_token_fields+time,2.75056,2,448,14661,53164,448,0.000010,0.011200,0.007331,0.332275,0.350816
481,2026-09-20T22:26:30.806584+08:00,claude-opus-5,3413,2026-09-20T14:26:28.198Z,model+4_token_fields+time,2.608584,2,563,67825,2404,563,0.000010,0.014075,0.033912,0.015025,0.063022
478,2026-09-20T22:26:37.622494+08:00,claude-opus-5,3419,2026-09-20T14:26:36.381Z,model+4_token_fields+time,1.241494,2,304,70229,2054,304,0.000010,0.007600,0.035114,0.012837,0.055562
476,2026-09-20T22:26:43.310306+08:00,claude-opus-5,3423,2026-09-20T14:26:41.674Z,model+4_token_fields+time,1.636306,2,303,72283,891,303,0.000010,0.007575,0.036142,0.005569,0.049295
474,2026-09-20T22:27:01.190366+08:00,claude-opus-5,3427,2026-09-20T14:26:59.647Z,model+4_token_fields+time,1.543366,2,322,73174,857,322,0.000010,0.008050,0.036587,0.005356,0.050003
